subject 5, acc: 77.77777777777777, balanced: 77.77777777777779
subject 15, acc: 75.0, balanced: 84.61538461538461
subject 24, acc: 61.53846153846154, balanced: 57.49999999999999
subject 31, acc: 73.80952380952381, balanced: 70.74074074074073
subject 32, acc: 74.13793103448276, balanced: 70.55555555555556
subject 36, acc: 100.0, balanced: 100.0
subject 37, acc: 89.65517241379311, balanced: 94.0
subject 38, acc: 85.36585365853658, balanced: 83.1043956043956
subject 42, acc: 88.13559322033899, balanced: 80.1418439716312
subject 46, acc: 77.92207792207792, balanced: 75.9233926128591
subject 47, acc: 74.28571428571429, balanced: 75.82236842105263
subject 48, acc: 83.60655737704919, balanced: 82.24400871459694
subject 49, acc: 87.17948717948718, balanced: 83.7962962962963
subject 52, acc: 100.0, balanced: 100.0
TOTAL AVERAGE: 82.02958215837452 81.15869745073503
