subject 5, acc: 88.88888888888889, balanced: 88.88888888888889
subject 15, acc: 93.75, balanced: 83.33333333333333
subject 24, acc: 76.92307692307692, balanced: 75.625
subject 31, acc: 76.19047619047619, balanced: 78.51851851851852
subject 32, acc: 75.86206896551724, balanced: 77.91666666666667
subject 36, acc: 91.66666666666667, balanced: 94.64285714285714
subject 37, acc: 96.55172413793103, balanced: 98.0
subject 38, acc: 87.8048780487805, balanced: 86.95054945054946
subject 42, acc: 89.83050847457628, balanced: 87.41134751773049
subject 46, acc: 81.81818181818181, balanced: 83.41313269493844
subject 47, acc: 82.85714285714286, balanced: 81.99013157894737
subject 48, acc: 93.44262295081967, balanced: 94.11764705882352
subject 49, acc: 84.61538461538461, balanced: 75.0
subject 52, acc: 100.0, balanced: 100.0
TOTAL AVERAGE: 87.15725860981732 86.12914806080384
