subject 5, acc: 91.66666666666667, balanced: 91.66666666666667
subject 15, acc: 93.75, balanced: 83.33333333333333
subject 24, acc: 73.07692307692308, balanced: 70.625
subject 31, acc: 78.57142857142857, balanced: 77.4074074074074
subject 32, acc: 77.58620689655173, balanced: 80.69444444444444
subject 36, acc: 86.11111111111111, balanced: 91.07142857142857
subject 37, acc: 93.10344827586206, balanced: 96.0
subject 38, acc: 87.8048780487805, balanced: 89.01098901098901
subject 42, acc: 88.13559322033899, balanced: 86.34751773049645
subject 46, acc: 85.71428571428571, balanced: 85.97811217510261
subject 47, acc: 84.28571428571429, balanced: 84.29276315789474
subject 48, acc: 90.1639344262295, balanced: 90.41394335511983
subject 49, acc: 89.74358974358974, balanced: 90.27777777777777
subject 52, acc: 100.0, balanced: 100.0
TOTAL AVERAGE: 87.12241285982016 86.93709883076149
